日本語,English,中文,한국語,,タグ説明
いいれふよぉ……おクチに……,,,,,
"\RB[精子,ザーメン]無駄撃ちしてくらはい……\i[15]",,,,,
"お”っ！\RB[射精,で]るぅ…！生娘フェラチオで精子\RB[射精,で]るぅ…！",,,,,
ん”ーっ…！んっ……くっ…！！,,,,,
"\c[27]\RB[陰茎,ペニス]はドクンと大きく脈打つと、",,,,,
大量のこってり精子を\n[1]の口内に吐き出した,,,,,
\c[27]\n[1]は命じられるまま、今会ったばかりの男の,,,,,
陰茎から吐き出される精液をゴクゴクと喉を鳴らし飲みほす,,,,,
(なにっ…この粘り気……喉にへばりついて……飲めない）,,,,,
ぷはーーーっ…！,,,,,
ふぅ～～……出た出た……,,,,,
おぉぉ～…いい飲みっぷりだの,,,,,
またたっぷり飲ませてやるからな,,,,,
ご……ごちそうさまで…ゲエェェッェェフ\i[15],,,,,

207:エステ蜜壺館:1,,,,,
繁華街の一角にある密壺館…,,,,,
健全をうたったエステ店の奥では、,,,,,
違法な性サービスが常態的に提供されていた,,,,,
一章 センズリ研修,,,,,
en(s[781])二章 フェラチオ研修,,,,,
en(s[782])三章 セックス研修,,,,,
就業初日、私はオーナー直々に研修を受けることになりました,,,,,
最初に手ほどきを受けたのは「マッサージ」と称し、,,,,,
手で客の陰茎を愛撫するサービス……,,,,,
仕事に慣れてきた頃、オーナーから研修の件で呼び止められる,,,,,
マニュアルを読み込んだ私にはわかる性機能回復マッサージの意,,,,,
つまりそれはフェラチオを意味していました,,,,,
この日も研修という名のオーナーの性欲解消に付き合わされる,,,,,
彼の陰茎にゴムを着けて跨るやいなや、,,,,,
突如としてカーテンが開かれる……そこにいたのは……,,,,,

207:エステ蜜壺館:2,,,,,
お～制服もパッツンパッツン\I[15],,,,,
よ～似合っとるわ,,,,,
はぁ……あの、念のため確認なんですけど,,,,,
本当に”いかがわしいお店”じゃないんですよね？,,,,,
当たり前やがな～\I[15],,,,,
看板の注意書き、見たやろ？,,,,,
わいせつ行為なんか提供したら,,,,,
お上に速攻パクられるさかい,,,,,
ほな、研修はじめるでぇ～\I[15],,,,,
……お、お願いします,,,,,
まずはマッサージオイルを適量使って,,,,,
お客さんの体に塗布していってや,,,,,
こんな感じでしょうか？,,,,,
そうそう、ええ感じやん,,,,,
ピンクでかわいい乳輪やね～\I[15],,,,,
ちょ！！！な、何してるんですか！！！,,,,,
ちゃんねん、こういう”コト”,,,,,
してくるお客さんもおるさかい,,,,,
今のうちに免疫つけとかなアカンねんて\I[15],,,,,
（完全に仕事間違えた…）,,,,,
そうそう、オイルは……オフッ…\I[15],,,,,
丁寧に……ハァン～…\I[15],,,,,
体に……揉みこんでな…オフゥン…\I[15],,,,,
（うるさ……）,,,,,
いつの間にか男の股間は盛り上がり、,,,,,
タオルを押し上げてテントを張っていた,,,,,
ほら、こういうことはよくあるから\I[15],,,,,
ウチはダン近※やさかい,,,,,
バリバリ肉体労働の若い男が多いしな,,,,,
※ダンジョン近場,,,,,
いちいち動揺しとったら仕事ならへんで？,,,,,
は、はい……心得てます…,,,,,
竿に触ってへんのに精子漏らしてまう,,,,,
初心なお客さんもおるぐらいやで,,,,,
（冗談でしょ……？）,,,,,
そういう時は、何も見なかったように,,,,,
サッと拭いてあげてな,,,,,
え、ええ……わかりました,,,,,
（そう……そういうのは生理現象ですし……ね）,,,,,
（前も隠してるし、何もまずいことは……ないはずです…）,,,,,
ほな……次のステップ、入ろか\I[15],,,,,
キンタマにオイル塗りこんでや\I[15],,,,,
男はそういうとタオルを剥ぎ、,,,,,
涎を垂らしたどす黒い勃起ペニスが露わになった,,,,,
そ、”そういうお店”じゃないって,,,,,
今、言ったばかりですよね……！？,,,,,
そんなもん、表向きのお約束に決まっとるやん,,,,,
求人には\C[6]「女性客相手限定のエステティシャン」\C[0]と,,,,,
ありましたよ！？だから応募したのに…！,,,,,
はぁ～？アホ抜かせ,,,,,
それは\C[6]プロエステティシャン\C[0]の求人じゃ,,,,,
ジブンみたいな未経験のトーシロが,,,,,
マッサージ目的で来とる女性客を,,,,,
満足させられるわけないやろ,,,,,
キミはな…,,,,,
"\RB[対男性客部隊,セックスサービス]採用や\I[15]",,,,,
～～～…ッ！！,,,,,
わいせつ行為は違法でしょう……！,,,,,
こ、こんなことしてたら捕まりますよ…！,,,,,
わいせつ？,,,,,
な～～んもやましいことはあれへん,,,,,
お客様の体にオイルを塗布して、揉みこむ…,,,,,
腹でも胸でもキンタマでも………,,,,,
\fs[34]誤差みたいなもんやっ！！,,,,,
誤差なわけないでしょ！！,,,,,
ま、好きにせんかい,,,,,
別にこっちはやめたってもええねんで？,,,,,
\C[1]断固辞退する,,,,,
\C[27]黙ってキンタマを揉む,,,,,
断固、お断りします,,,,,
は～、しょうもな,,,,,
そのアホみたいなデカ乳は飾りか,,,,,
ま、好きにしたらええわ,,,,,
（これは…マッサージ…そうマッサージ…）,,,,,
（いかがわしくない…いかがわしくない…）,,,,,
\N[1]は異様に肥大した陰嚢をわし掴みにし、,,,,,
オイルを丁寧にモミモミ揉みこんだ,,,,,
そうそう…\I[15]それでええねん\I[15],,,,,
な～～んもやましいことあらへんで？\I[15],,,,,
これは純然たるマッサージや\I[15],,,,,
なぁ、ところで\N[1]ちゃん,,,,,
キミ、処女やろ？,,,,,
っ…！だったら何だっていうんですか\I[16],,,,,
あ、やっぱり？,,,,,
キンタマ転がすのへったくそやったからさぁ,,,,,
もっと優しくモミモミしたってや？,,,,,
力強すぎるわぁ,,,,,
うわ、キンタマ転がす手つき,,,,,
引くほど慣れてるやん,,,,,
初心な顔してやることやっとんな？,,,,,
チンポ前にしたリアクションで,,,,,
処女かどうかすぐわかるねん、すごいやろ,,,,,
彼氏のキンタマもこうやって,,,,,
転がしとるんかぁ～\I[15],,,,,
こんなでっかいおっぱい,,,,,
好き放題できる男がうらやましいなぁ\I[15],,,,,
っ……！知りませんよ…！そんなこと…！,,,,,
よ～し、ほな次は”竿”を握ってみ\I[15],,,,,
くっ……！こ、これでいいでしょうか…\I[16],,,,,
そうそう、”射角”を上に持ち上げてな\I[15],,,,,
そしたら、ゆっくり…丁寧に…,,,,,
竿になじむようにオイルを揉みこんでや\I[15],,,,,
（うっ……硬ったぁ………,,,,,
ガッチガチに勃起してる……\I[16]）,,,,,
そうそう、皮捲って……\I[15],,,,,
皮の下は敏感やから…特に優しくな,,,,,
キミもクリトリス、弄ったりするやろ？\I[15],,,,,
し、しませんし…そんなことッ…\I[16],,,,,
そん時と同じくらい優しく、丁寧にな\I[15],,,,,
あ～…ええわぁ～～～…\I[15],,,,,
あ、手の動きは早くしたらあかんで？,,,,,
ゆっくり、ゆっくりな,,,,,
ほら、オイルマッサージじゃなくて,,,,,
センズリになってまうから\I[15],,,,,
い、いちいち言わなくても,,,,,
それぐらいわかってますよ……！,,,,,
あ、センズリ知ってるんや、処女の癖に\I[15],,,,,
チンポしごいたら精子出てまうくらいの,,,,,
知識はあるんやね、処女でも\I[15],,,,,
（あ～、もう……本当に癪に障る…\I[16]）,,,,,
それぐらいさすがに知ってるか,,,,,
\N[1]ちゃんは非処女やもんな\I[15],,,,,
\N[1]ちゃんの手コキうまいわぁ～\I[15],,,,,
あ、ちゃうわ、マッサージやったな,,,,,
（あ～、もう…いちいち癪に障る男です…\I[16]）,,,,,
もう陰部の塗布は終わりましたけど…？\I[16],,,,,
ん？終わったん？ほな悪いけど,,,,,
そのままもっといてんか,,,,,
えっ…？,,,,,
"\RB[射精,で]るっっ\I[15]",,,,,
えっ……なに！うわっっっ…！！,,,,,
あ～、スマンスマン\I[15],,,,,
えらい具合よかったから,,,,,
顔までどっぴゅんしてもうたわ\I[15],,,,,
（ッッ……！この男……わざと……！\I[16]）,,,,,
ふぅ～…ざっとこんなとこやな,,,,,
お疲れさん\I[15]初日にしては上出来や,,,,,
ジブン、タマ転がす才能あるで\I[15],,,,,
ほな、これで研修は終わりやから,,,,,
次からは早速お客さん相手してもらうで,,,,,
一応、言うとくけど法律上、表向きは,,,,,
\C[27]店でわいせつ行為提供したら犯罪\C[0],,,,,
ちゅうことになっとるから,,,,,
なんぞあってもワシは何も知らんで,,,,,
自己責任っちゅうことで一つ頼むわ,,,,,
（じ、自分からやれと言ったくせに……！,,,,,
"完全な\RB[悪徳店,ブラック]じゃないですか…！）",,,,,
また直々に”研修”つけてほしかったら,,,,,
いつでも相手したるわ\I[15],,,,,
ほな、ぎょーさん稼いでや～\I[15],,,,,
花の命は短いで～\I[15],,,,,

207:エステ蜜壺館:3,,,,,
あの……なんでしょうか…,,,,,
忙しいんですけど…,,,,,
\N[1]ちゃん最近よ～入ってくれてるからさ,,,,,
ここいらで一つ、研修しとこうと思って\I[15],,,,,
いや…別に結構ですけど…,,,,,
まぁまぁ\I[15]そう言わんと\I[15],,,,,
あの……\I[16],,,,,
今日は”性機能回復エステ研修”やってみよか？\I[15],,,,,
業務やで\I[15]これ業務命令\I[15],,,,,
適当にあしらう,,,,,
\C[27]研修【性機能回復エステ】を行う,,,,,
何が”業務”ですか,,,,,
オーナー、貴方タダで”処理”したいだけでしょう,,,,,
私忙しいので…\I[16],,,,,
なんやぁ～つれないなぁ～…,,,,,
でもそういう態度もたまらんわぁ\I[15],,,,,
（まぁ…業務の一環なら仕方ありませんね）,,,,,
わかりました、では性機能回復エステを行います,,,,,
\N[1]は大きなお尻を頭に向けると,,,,,
男の上にまたがった,,,,,
お、おお～…！偉い偉い…！,,,,,
ちゃんと”マニュアル”、読み込んどるな！？,,,,,
当然です、業務に支障が出るといけませんから,,,,,
では、性機能の確認を行います,,,,,
ムフゥ……\I[15] 相変わらずえぐいモリマンやなぁ\I[15],,,,,
\V[382]は眼前に迫る\N[1]の肉厚おまんこの迫力に圧倒された,,,,,
女性器から目をそらさないで下さい,,,,,
ペニスの性機能確認を行っております,,,,,
そうそう\I[15] 勃起の確認は基本やで\I[15],,,,,
\N[1]ちゃんはホンマ真面目で,,,,,
仕事の飲み込み早くて助かるわァ\I[15],,,,,
チロチロ……\I[15],,,,,
\N[1]の舌先がうなだれた男の陰茎を這う,,,,,
じゅるじゅる……\I[15],,,,,
\N[1]は男の股間に顔をうずめると、,,,,,
ペニス、キンタマと這わせた舌がアナルにまで至った,,,,,
お”おっ！？\I[15],,,,,
アナル舐めはマニュアルに無かったでぇ～！？,,,,,
そんな独自サービスやっとるんか！？\I[15],,,,,
陰茎の勃起を確認しました,,,,,
男のペニスはもはや言い訳の余地なく,,,,,
天に向かって、雄々しく、猛々しく屹立していた,,,,,
ここまでは100点や\I[15],,,,,
さ、次はどうするんや？,,,,,
このまま射精訓練に入ります,,,,,
舌の刺激だけで射精してください,,,,,
お…おおッ…！\N[1]ちゃん……！,,,,,
なんで手コキやフェラをせんのや！？,,,,,
これは\C[6]「施術中に舌先が”たまたま”、お客様の,,,,,
デリケートゾーンに触れてしまった」\C[0]だけです,,,,,
せ、せや……！その通り！,,,,,
しっかりマニュアル読み込んどるな！,,,,,
手コキやフェラやったらパクられるけどこれならグレーや！,,,,,
天才的な発想やろ！？,,,,,
かなり無理があると思いますが,,,,,
射精るッ！\I[16]射精るッ！\I[16]射精るッ！\I[16]射精るッ！\I[16],,,,,
射精カウントダウンしますよ,,,,,
3………,,,,,
2………,,,,,
1………,,,,,
ゼロ\I[15],,,,,
う、うおぉぉ！射精るっ！射精るっ！射精るっ！,,,,,
"\RB[精子,ザーメン]、見事な発射でした",,,,,
………以上です、オーナー,,,,,
ふぅ……\I[15],,,,,
う～～～ん、マニュアルもしっかり読み込んどるな！,,,,,
100点や！\N[1]ちゃん！文句の付け所もあらへん！,,,,,
この調子で、頑張ってや～\I[15],,,,,

207:エステ蜜壺館:4,,,,,
ハァ……”研修”……ですか？,,,,,
正解～～～\I[15],,,,,
スキルアップのお手伝いしたろかな～おもて\I[15],,,,,
ほな、今日はガッツリ蜜壺エステ、いっとこか？\I[15],,,,,
蜜壺館エース・\N[1]ちゃんの技……,,,,,
見せてもらおかな？\I[15],,,,,
（うわ…ガッチガチに勃起して……,,,,,
本番ヤる気でしょ…絶対…）,,,,,
研修やで、これ、研修やから\I[15],,,,,
皆やっとるし、やましいことあらへん…いや、ほんまに\I[15],,,,,
\C[27]裏オプ【蜜壺洗い】を行う,,,,,
お金……！払ってください,,,,,
なんやぁ～？ケチくさいなァ,,,,,
ワイ、オーナーやでぇ？ええやん～ええやん～！,,,,,
ダメです、例外はありません,,,,,
ハァ～…ほんならええわ,,,,,
やめや、やめ,,,,,
（はぁ……仕事ですしね、しょうがないです）,,,,,
（あーヤダヤダ）,,,,,
